Scientific_Name,en_uk,fr,es,nl,no
Cyanoliseus patagonus,Burrowing Parakeet,Conure de Patagonie,Loro Barranquero,Holenparkiet,graveparakitt
Cyanoloxia brissonii,Ultramarine Grosbeak,Évêque de Brisson,Picogrueso de Brisson,Ultramarijnbisschop,ultramarintykknebb
Cyanoloxia cyanoides,Blue-black Grosbeak,Évêque bleu-noir,Picogrueso Negriazul,Blue-black Grosbeak,indigotykknebb
Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak,Évêque indigo,Picogrueso Índigo,Indigobisschop,kobolttykknebb
Cyanoloxia rothschildii,Amazonian Grosbeak,Évêque de Rothschild,Picogrueso Amazónico,Amazonian Grosbeak,amazontykknebb
Cyanolyca armillata,Black-collared Jay,Geai à collier,Chara Collareja,Zwartkraaggaai,koboltskrike
Cyanolyca cucullata,Azure-hooded Jay,Geai couronné,Chara Coroniazul,Azuurkapgaai,blåhetteskrike
Cyanolyca mirabilis,White-throated Jay,Geai masqué,Chara de Omiltemi,Maskergaai,aztekskrike
Cyanolyca nanus,Dwarf Jay,Geai nain,Chara Enana,Witkeeldwerggaai,dvergskrike
Cyanolyca pulchra,Beautiful Jay,Geai superbe,Chara Hermosa,Ornaatgaai,praktskrike
Cyanolyca pumilo,Black-throated Jay,Geai à gorge noire,Chara Gorjinegra,Zwartkeeldwerggaai,mayaskrike
Cyanolyca turcosa,Turquoise Jay,Geai turquoise,Chara Turquesa,Turkooisgaai,turkisskrike
Cyanolyca viridicyanus,White-collared Jay,Geai indigo,Chara Andina,Witkraaggaai,lenkeskrike
Cyanomitra cyanolaema,Blue-throated Brown Sunbird,Souimanga à gorge bleue,Suimanga Gorjiazul,Bruinrughoningzuiger,blåstrupesolfugl
Cyanomitra olivacea,Olive Sunbird,Souimanga olivâtre,Suimanga Oliváceo,Olijfgroene Honingzuiger,olivensolfugl
Cyanomitra veroxii,Mouse-coloured Sunbird,Souimanga murin,Suimanga Ratonil,Grijze Honingzuiger,gråsolfugl
Cyanomitra verticalis,Green-headed Sunbird,Souimanga à tête verte,Suimanga Cabeciverde,Groenkophoningzuiger,grønnhodesolfugl
Cyanopica cooki,Iberian Magpie,Pie-bleue ibérique,Rabilargo Ibérico,Blauwe Ekster,blåskjære
Cyanopica cyanus,Azure-winged Magpie,Pie-bleue à calotte noire,Rabilargo Asiático,Aziatische Blauwe Ekster,asurskjære
Cyanoptila cumatilis,Zappey's Flycatcher,Gobemouche de Zappey,Papamoscas de Zappey,Zappeys Vliegenvanger,turkisfluesnapper
Cyanoptila cyanomelana,Blue-and-white Flycatcher,Gobemouche bleu,Papamoscas Azul,Blauw-witte Vliegenvanger,cyanfluesnapper
Cyanoramphus novaezelandiae,Red-crowned Parakeet,Perruche de Sparrman,Perico Maorí Cabecirrojo,Roodvoorhoofdkarakiri,rødkroneparakitt
Cyclarhis gujanensis,Rufous-browed Peppershrike,Sourciroux mélodieux,Vireón Cejirrufo,Roodbrauwpeperklauwier,rustbrynvireo
Cyclarhis nigrirostris,Black-billed Peppershrike,Sourciroux à bec noir,Vireón Piquinegro,Zwartsnavelpeperklauwier,svartnebbvireo
Cygnus atratus,Black Swan,Cygne noir,Cisne Negro,Zwarte Zwaan,svartsvane
Cygnus buccinator,Trumpeter Swan,Cygne trompette,Cisne Trompetero,Trompetzwaan,trompetersvane
Cygnus columbianus,Bewick's Swan,Cygne siffleur,Cisne Chico,Kleine Zwaan,dvergsvane
Cygnus cygnus,Whooper Swan,Cygne chanteur,Cisne Cantor,Wilde Zwaan,sangsvane
Cygnus melancoryphus,Black-necked Swan,Cygne à cou noir,Cisne Cuellinegro,Zwarthalszwaan,svarthalssvane
Cygnus olor,Mute Swan,Cygne tuberculé,Cisne Vulgar,Knobbelzwaan,knoppsvane
Cymbilaimus lineatus,Fasciated Antshrike,Batara fascié,Batará Lineado,Zebramierklauwier,gittermaurvarsler
Cymbilaimus sanctaemariae,Bamboo Antshrike,Batara des bambous,Batará de Madre de Dios,Bamboemierklauwier,bambusmaurvarsler
Cymbirhynchus macrorhynchos,Black-and-red Broadbill,Eurylaime rouge et noir,Eurilaimo Rojinegro,Zwart-rode Hapvogel,hvitskulderbrednebb
Cynanthus latirostris,Broad-billed Hummingbird,Colibri circé,Colibrí Piquiancho Común,Breedsnavelkolibrie,brednebbkolibri
Cyornis caerulatus,Sunda Blue Flycatcher,Gobemouche à grand bec,Papamoscas Picoancho,Breedsnavelniltava,sundafluesnapper
Cyornis concretus,White-tailed Flycatcher,Gobemouche à queue blanche,Papamoscas Coliblanco,Witstaartniltava,hvithalefluesnapper
Cyornis glaucicomans,Chinese Blue Flycatcher,Gobemouche du Yunnan,Papamoscas Chino,Chinese Blue Flycatcher,apsarafluesnapper
Cyornis hainanus,Hainan Blue Flycatcher,Gobemouche de Hainan,Papamoscas de Hainan,Hainanniltava,koboltfluesnapper
Cyornis hoevelli,Blue-fronted Flycatcher,Blue-fronted Flycatcher,Blue-fronted Flycatcher,Blue-fronted Flycatcher,Blue-fronted Flycatcher
Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,Gobemouche à dos olive,Papamoscas Dorsioliva,Olijfrugjunglevliegenvanger,okerbrystfluesnapper
Cyornis omissus,Sulawesi Blue Flycatcher,Gobemouche des Célèbes,Papamoscas de Célebes,Sulawesiniltava,alvefluesnapper
Cyornis pallidipes,White-bellied Blue Flycatcher,Gobemouche à ventre blanc,Papamoscas Ventriblanco,Keralaniltava,hvitbukfluesnapper
Cyornis poliogenys,Pale-chinned Flycatcher,Gobemouche de Brooks,Papamoscas de Brooks,Brooks' Niltava,blekhakefluesnapper
Cyornis rubeculoides,Blue-throated Flycatcher,Gobemouche à menton bleu,Papamoscas Gorjiazul,Blauwkeelniltava,nymfefluesnapper
Cyornis rufigastra,Mangrove Blue Flycatcher,Gobemouche des mangroves,Papamoscas de Manglar,Mangroveniltava,mangrovefluesnapper
Cyornis sumatrensis,Indochinese Blue Flycatcher,Gobemouche d'Indochine,Papamoscas Indochino,Indochinese Blue Flycatcher,indokinafluesnapper
Cyornis superbus,Bornean Blue Flycatcher,Gobemouche de Bornéo,Papamoscas de Borneo,Borneoniltava,borneofluesnapper
Cyornis tickelliae,Tickell's Blue Flycatcher,Gobemouche de Tickell,Papamoscas de Tickell,Tickell's Blue Flycatcher,buskfluesnapper
Cyornis turcosus,Malaysian Blue Flycatcher,Gobemouche malais,Papamoscas Malayo,Maleise Niltava,blåstrupefluesnapper
Cyornis umbratilis,Grey-chested Jungle Flycatcher,Gobemouche ombré,Papamoscas Pechigrís,Witkeeljunglevliegenvanger,gråbrystfluesnapper
Cyornis unicolor,Pale Blue Flycatcher,Gobemouche bleuâtre,Papamoscas Azulado,Azuurniltava,asurfluesnapper
Cyornis whitei,Hill Blue Flycatcher,Gobemouche de White,Papamoscas Pechiclaro,Bergniltava,ravinefluesnapper
Cyphorhinus arada,Musician Wren,Troglodyte arada,Cucarachero Musical,Orpheuswinterkoning,orgelsmett
Cyphorhinus phaeocephalus,Song Wren,Troglodyte chanteur,Cucarachero Canoro,Pacifische Orpheuswinterkoning,sangsmett
Cyphorhinus thoracicus,Chestnut-breasted Wren,Troglodyte ferrugineux,Cucarachero Pechicastaño,Bruinborstwinterkoning,kastanjebrystsmett
Cypseloides niger,Black Swift,Martinet sombre,Vencejo Negro,Zwarte Gierzwaluw,svartseiler
Cypsiurus balasiensis,Asian Palm Swift,Martinet batassia,Vencejo Palmero Asiático,Aziatische Palmgierzwaluw,asiapalmeseiler
Cypsiurus parvus,African Palm Swift,Martinet des palmes,Vencejo Palmero Africano,Afrikaanse Palmgierzwaluw,afrikapalmeseiler
Cypsnagra hirundinacea,White-rumped Tanager,Tangara hirundinacé,Tangara Culiblanca,Witstuittangare,hvitgumptanagar
Cyrtonyx montezumae,Montezuma Quail,Colin arlequin,Colín de Moctezuma,Montezumabergkwartel,aztekvaktel
Cyrtonyx ocellatus,Ocellated Quail,Colin ocellé,Colín Ocelado,Gevlekte Bergkwartel,zapotekvaktel
Cyrtoxipha columbiana,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig,Columbian Trig
Dacelo gaudichaud,Rufous-bellied Kookaburra,Martin-chasseur de Gaudichaud,Cucaburra Ventrirrufa,Roodbuikkookaburra,hvitnebbkokaburra
Dacelo leachii,Blue-winged Kookaburra,Martin-chasseur à ailes bleues,Cucaburra Aliazul,Blauwvleugelkookaburra,larmekokaburra
Dacelo novaeguineae,Laughing Kookaburra,Martin-chasseur géant,Cucaburra Común,Kookaburra,latterkokaburra
Dacnis cayana,Blue Dacnis,Dacnis bleu,Dacnis Azul,Blauwe Pitpit,blådaknis
Dacnis flaviventer,Yellow-bellied Dacnis,Dacnis à ventre jaune,Dacnis Ventriamarillo,Geelbuikpitpit,gulbukdaknis
Dacnis lineata,Black-faced Dacnis,Dacnis à coiffe bleue,Dacnis Carinegro,Zwartmasker-pitpit,maskedaknis
Dacnis venusta,Scarlet-thighed Dacnis,Dacnis à cuisses rouges,Dacnis Muslirrojo,Rooddijpitpit,rødleggdaknis
Dactylortyx thoracicus,Singing Quail,Colin chanteur,Colín Cantor,Zangkwartel,sangvaktel
Daphoenositta chrysoptera,Varied Sittella,Néositte variée,Neosita Variable,Varied Sittella,stripesittella
Daption capense,Cape Petrel,Damier du Cap,Petrel Damero,Kaapse Stormvogel,flekkpetrell
Daptrius ater,Black Caracara,Caracara noir,Caracara Negro,Zwarte Caracara,svartkarakara
Dasylophus cumingi,Scale-feathered Malkoha,Malcoha frisé,Malcoha Frisado,Schubhalsmalkoha,sølvhodemalkoha
Dasyornis brachypterus,Eastern Bristlebird,Dasyorne brun,Picocerdas Oriental,Bruine Borstelvogel,østbørstefugl
Dasyornis broadbenti,Rufous Bristlebird,Dasyorne roux,Picocerdas Rufo,Rosse Borstelvogel,sørbørstefugl
Dasyornis longirostris,Western Bristlebird,Dasyorne à long bec,Picocerdas Occidental,Zwartkapborstelvogel,vestbørstefugl
Deconychura longicauda,Long-tailed Woodcreeper,Grimpar à longue queue,Trepatroncos Colilargo,Langstaartmuisspecht,langhaletreløper
Delichon dasypus,Asian House Martin,Hirondelle de Bonaparte,Avión Asiático,Aziatische Huiszwaluw,orienttaksvale
Delichon urbicum,Western House Martin,Hirondelle de fenêtre,Avión Común,Huiszwaluw,taksvale
Dendragapus fuliginosus,Sooty Grouse,Tétras fuligineux,Gallo Fuliginoso,Grauw Sneeuwhoen,sotjerpe
Dendragapus obscurus,Dusky Grouse,Tétras sombre,Gallo Oscuro,Blauw Sneeuwhoen,blåjerpe
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,Grimpar à collier,Trepatroncos Gorjicanelo,Bruinkeelmuisspecht,bleknebbtreløper
Dendrocincla anabatina,Tawny-winged Woodcreeper,Grimpar à ailes rousses,Trepatroncos Sepia,Bruinvleugelmuisspecht,okervingetreløper
Dendrocincla fuliginosa,Plain-brown Woodcreeper,Grimpar enfumé,Trepatroncos Fuliginoso,Grijswangmuisspecht,sepiatreløper
Dendrocincla homochroa,Ruddy Woodcreeper,Grimpar roux,Trepatroncos Rojizo,Rosse Muisspecht,rusttreløper
Dendrocincla merula,White-chinned Woodcreeper,Grimpar à menton blanc,Trepatroncos Barbiblanco,Witkinmuisspecht,hvithaketreløper
Dendrocincla turdina,Plain-winged Woodcreeper,Grimpar grive,Trepatroncos Turdino,Lijstermuisspecht,trostetreløper
Dendrocincla tyrannina,Tyrannine Woodcreeper,Grimpar tyran,Trepatroncos Tiranino,Tiranmuisspecht,tyranntreløper
Dendrocitta cinerascens,Bornean Treepie,Témia de Bornéo,Urraca de Borneo,Borneoboomekster,gråryggskjære
Dendrocitta formosae,Grey Treepie,Témia de Swinhoe,Urraca Gris,Grijsborstboomekster,gråskjære
Dendrocitta leucogastra,White-bellied Treepie,Témia à ventre blanc,Urraca Ventriblanca,Witbuikboomekster,kongeskjære
Dendrocitta vagabunda,Rufous Treepie,Témia vagabonde,Urraca Vagabunda,Rosse Boomekster,okerskjære
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper,Grimpar barré,Trepatroncos Barrado Amazónico,Gebandeerde Muisspecht,amazonvatretreløper
Dendrocolaptes picumnus,Black-banded Woodcreeper,Grimpar varié,Trepatroncos Variable,Blauwsnavelmuisspecht,strekbuktreløper
Dendrocolaptes platyrostris,Planalto Woodcreeper,Grimpar des plateaux,Trepatroncos Oscuro,Planaltomuisspecht,planaltotreløper
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,Grimpar vermiculé,Trepatroncos Barrado Norteño,Noordelijke Gebandeerde Muisspecht,nordvatretreløper
Dendrocopos analis,Freckle-breasted Woodpecker,Pic de Bonaparte,Pico Pechimoteado,Oostelijke Vaalborstspecht,fregnespett
Dendrocopos darjellensis,Darjeeling Woodpecker,Pic de Darjiling,Pico de Darjeeling,Darjeelingspecht,mosespett
Dendrocopos himalayensis,Himalayan Woodpecker,Pic de l'Himalaya,Pico del Himalaya,Himalayaspecht,himalayaspett
Dendrocopos hyperythrus,Rufous-bellied Woodpecker,Pic à ventre fauve,Pico Ventrirrufo,Bruinkeelspecht,ferskenspett
Dendrocopos leucopterus,White-winged Woodpecker,Pic à ailes blanches,Pico Aliblanco,Witvleugelspecht,hvitvingespett
Dendrocopos leucotos,White-backed Woodpecker,Pic à dos blanc,Pico Dorsiblanco,Witrugspecht,hvitryggspett
Dendrocopos macei,Fulvous-breasted Woodpecker,Pic de Macé,Pico Pechileonado,Vaalborstspecht,okerbrystspett
Dendrocopos major,Great Spotted Woodpecker,Pic épeiche,Pico Picapinos,Grote Bonte Specht,flaggspett
Dendrocopos syriacus,Syrian Woodpecker,Pic syriaque,Pico Sirio,Syrische Bonte Specht,syriaspett
Dendrocoptes auriceps,Brown-fronted Woodpecker,Pic à tête jaune,Pico Frentipardo,Bruinvoorhoofdspecht,bergspett
Dendrocoptes medius,Middle Spotted Woodpecker,Pic mar,Pico Mediano,Middelste Bonte Specht,mellomspett
Dendrocygna arcuata,Wandering Whistling-Duck,Dendrocygne à lunules,Suirirí Capirotado,Zwervende Fluiteend,hetteplystreand
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Suirirí Piquirrojo,Zwartbuikfluiteend,rødnebbplystreand
Dendrocygna bicolor,Fulvous Whistling-Duck,Dendrocygne fauve,Suirirí Bicolor,Rosse Fluiteend,brunplystreand
Dendrocygna eytoni,Plumed Whistling-Duck,Dendrocygne d'Eyton,Suirirí Australiano,Australische Fluiteend,prydplystreand
Dendrocygna javanica,Lesser Whistling-Duck,Dendrocygne siffleur,Suirirí de Java,Indische Fluiteend,småplystreand
Dendrocygna viduata,White-faced Whistling-Duck,Dendrocygne veuf,Suirirí Cariblanco,Witwangfluiteend,maskeplystreand
Dendroma erythroptera,Chestnut-winged Foliage-gleaner,Anabate à ailes rousses,Ticotico Alicastaño,Roodvleugelbladspeurder,rødvingeløvgransker
Dendroma rufa,Buff-fronted Foliage-gleaner,Anabate roux,Ticotico Ocráceo Grande,Geelkapbladspeurder,askekroneløvgransker
Dendronanthus indicus,Forest Wagtail,Bergeronnette de forêt,Lavandera Forestal,Boomkwikstaart,skogerle
Dendroplex picus,Straight-billed Woodcreeper,Grimpar talapiot,Trepatroncos Piquirrecto,Priemsnavelmuisspecht,sylnebbtreløper
Dendrortyx barbatus,Bearded Wood-Partridge,Colin barbu,Colín Barbudo,Grijskeelbospatrijs,gråstrupeskogvaktel
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,Colin à sourcils blancs,Colín Cariclaro,Witkeelbospatrijs,hvitstrupeskogvaktel
Dendrortyx macroura,Long-tailed Wood-Partridge,Colin à longue queue,Colín Rabudo,Mexicaanse Bospatrijs,svartstrupeskogvaktel
Deroptyus accipitrinus,Red-fan Parrot,Papegeai maillé,Loro Cacique,Kraagpapegaai,kragepapegøye
Dicaeum aeneum,Midget Flowerpecker,Dicée des Salomon,Picaflores de las Salomón,Salomonshoningvogel,salomonblomsterfugl
Dicaeum agile,Thick-billed Flowerpecker,Dicée à bec épais,Picaflores Picogrueso,Dikbek-honingvogel,tykknebblomsterfugl
Dicaeum australe,Red-keeled Flowerpecker,Dicée des Philippines,Picaflores Filipino,Filippijnse Honingvogel,rødreimblomsterfugl
Dicaeum chrysorrheum,Yellow-vented Flowerpecker,Dicée cul-d'or,Picaflores Pechiestriado,Gevlekte Honingvogel,svartstripeblomsterfugl
Dicaeum concolor,Nilgiri Flowerpecker,Dicée concolore,Picaflores Liso,Nilgirihoningvogel,malabarblomsterfugl
Dicaeum cruentatum,Scarlet-backed Flowerpecker,Dicée à dos rouge,Picaflores Dorsirrojo,Roodrughoningvogel,rødryggblomsterfugl
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,Dicée à bec rouge,Picaflores Piquirrojo,Geelsnavelhoningvogel,bleknebblomsterfugl
Dicaeum hirundinaceum,Mistletoebird,Dicée hirondelle,Picaflores Golondrina,Roodstuithoningvogel,mistelteinfugl
Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicée à gorge feu,Picaflores Pechofuego,Indische Honingvogel,juvelblomsterfugl
Dicaeum minullum,Plain Flowerpecker,Dicée olivâtre,Picaflores Sencillo,Groengrijze Honingvogel,olivenblomsterfugl
Dicaeum pygmaeum,Pygmy Flowerpecker,Dicée pygmée,Picaflores Pigmeo,Dwerghoningvogel,dvergblomsterfugl
Dicaeum trigonostigma,Orange-bellied Flowerpecker,Dicée à ventre orange,Picaflores Ventrinaranja,Oranjebuikhoningvogel,ildbukblomsterfugl
Dicaeum tristrami,Mottled Flowerpecker,Dicée de San Cristobal,Picaflores de San Cristóbal,San-Cristobalhoningvogel,makirablomsterfugl
Dichrozona cincta,Banded Antbird,Grisin sanglé,Hormiguero Bandeado,Bandrugmiervogel,båndmaursmett
Dicrurus adsimilis,Fork-tailed Drongo,Drongo brillant,Drongo Ahorquillado,Fork-tailed Drongo,savannedrongo
Dicrurus aeneus,Bronzed Drongo,Drongo bronzé,Drongo Bronceado,Bronsdrongo,bronsedrongo
Dicrurus andamanensis,Andaman Drongo,Drongo des Andaman,Drongo de Andamán,Andamanendrongo,andamandrongo
Dicrurus annectens,Crow-billed Drongo,Drongo à gros bec,Drongo Picogordo,Kraaienbekdrongo,tykknebbdrongo
Dicrurus atripennis,Shining Drongo,Drongo de forêt,Drongo Selvático,Staalglansdrongo,glansdrongo
Dicrurus balicassius,Balicassiao,Drongo balicassio,Drongo Balicassio,Filippijnse Drongo,filippinerdrongo
Dicrurus bracteatus,Spangled Drongo,Drongo pailleté,Drongo Escamoso,Glansvlekdrongo,brokadedrongo
Dicrurus caerulescens,White-bellied Drongo,Drongo à ventre blanc,Drongo Ventriblanco,Witbuikdrongo,hvitbukdrongo
Dicrurus divaricatus,Glossy-backed Drongo,Drongo de Lichtenstein,Drongo Satinado,Glossy-backed Drongo,saheldrongo
Dicrurus forficatus,Crested Drongo,Drongo malgache,Drongo Malgache,Kuifdrongo,børstedrongo
Dicrurus hottentottus,Hair-crested Drongo,Drongo à crinière,Drongo Crestudo,Haarkuifdrongo,hårdrongo
Dicrurus leucophaeus,Ashy Drongo,Drongo cendré,Drongo Cenizo,Grijze Drongo,askedrongo
Dicrurus ludwigii,Square-tailed Drongo,Drongo de Ludwig,Drongo de Ludwig Común,Common Square-tailed Drongo,tverrhaledrongo
Dicrurus macrocercus,Black Drongo,Drongo royal,Drongo Real,Koningsdrongo,svartdrongo
Dicrurus montanus,Sulawesi Drongo,Drongo des Célèbes,Drongo de Célebes,Sulawesibergdrongo,sulawesidrongo
Dicrurus paradiseus,Greater Racket-tailed Drongo,Drongo à raquettes,Drongo de Raquetas Grande,Vlaggendrongo,dragedrongo
Dicrurus remifer,Lesser Racket-tailed Drongo,Drongo à rames,Drongo de Raquetas Chico,Spateldrongo,vimpeldrongo
Diglossa albilatera,White-sided Flowerpiercer,Percefleur à flancs blancs,Pinchaflor Flanquiblanco,Witflankberghoningkruiper,hvitsideblomsterborer
Diglossa baritula,Cinnamon-bellied Flowerpiercer,Percefleur cannelle,Pinchaflor Ventricanelo,Mexicaanse Berghoningkruiper,kanelblomsterborer
Diglossa brunneiventris,Black-throated Flowerpiercer,Percefleur à gorge noire,Pinchaflor Gorjinegro,Zwartkeelberghoningkruiper,svartstrupeblomsterborer
Diglossa caerulescens,Bluish Flowerpiercer,Percefleur bleuté,Pinchaflor Azulado,Grijsblauwe Berghoningkruiper,blåblomsterborer
Diglossa cyanea,Masked Flowerpiercer,Percefleur masqué,Pinchaflor Enmascarado,Maskerberghoningkruiper,maskeblomsterborer
Diglossa glauca,Deep-blue Flowerpiercer,Percefleur glauque,Pinchaflor Glauco,Goudoogberghoningkruiper,koboltblomsterborer
Diglossa gloriosissima,Chestnut-bellied Flowerpiercer,Percefleur à ventre marron,Pinchaflor Ventrirrufo,Roestbuikberghoningkruiper,praktblomsterborer
Diglossa humeralis,Black Flowerpiercer,Percefleur noir,Pinchaflor Negro,Zwarte Berghoningkruiper,svartblomsterborer
Diglossa indigotica,Indigo Flowerpiercer,Percefleur indigo,Pinchaflor Índigo,Indigoberghoningkruiper,indigoblomsterborer
Diglossa lafresnayii,Glossy Flowerpiercer,Percefleur de Lafresnaye,Pinchaflor Satinado,Glansberghoningkruiper,glansblomsterborer
Diglossa mystacalis,Moustached Flowerpiercer,Percefleur moustachu,Pinchaflor Bigotudo,Witbaardberghoningkruiper,skjeggblomsterborer
Diglossa plumbea,Slaty Flowerpiercer,Percefleur ardoisé,Pinchaflor Plomizo,Leigrijze Berghoningkruiper,blyblomsterborer
Diglossa sittoides,Rusty Flowerpiercer,Percefleur rouilleux,Pinchaflor Ferrugíneo,Kleverberghoningkruiper,rustblomsterborer
Dinemellia dinemelli,White-headed Buffalo-Weaver,Alecto à tête blanche,Bufalero Cabeciblanco,Witkopbuffelwever,hvithodevever
Dinopium benghalense,Black-rumped Flameback,Pic du Bengale,Pito Bengalí,Black-rumped Flameback,bengalspett
Dinopium javanense,Common Flameback,Pic à dos rouge,Pito Culirrojo de Java,Javaanse Goudrugspecht,gullryggspett
Dinopium rafflesii,Olive-backed Woodpecker,Pic oriflamme,Pito Dorsioliva,Olijfbuikspecht,sumpspett
Diomedea exulans,Snowy Albatross,Albatros hurleur,Albatros Viajero,Grote Albatros,vandrealbatross
Diopsittaca nobilis,Red-shouldered Macaw,Ara noble,Guacamayo Noble,Roodschouderara,dvergara
Diuca diuca,Diuca Finch,Diuca gris,Diuca Común,Gewone Diucagors,diukaspurv
Dives dives,Melodious Blackbird,Quiscale chanteur,Zanate Cantor,Rouwtroepiaal,sangtrupial
Dives warczewiczi,Scrub Blackbird,Quiscale buissonnier,Zanate Matorralero,Struiktroepiaal,krattrupial
Dog,Dog,Chien,Perro,Hond,Hund
Dolichonyx oryzivorus,Bobolink,Goglu des prés,Tordo Charlatán,Bobolink,bobolink
Donacobius atricapilla,Black-capped Donacobius,Donacobe à miroir,Angú,Zwartkopdonacobius,donacobius
Donacospiza albifrons,Long-tailed Reed Finch,Donacospize des marais,Cachilo Canela,Witbrauwgrasgors,rørspurv
Doryfera ludovicae,Green-fronted Lancebill,Porte-lance de Louise,Colibrí Picolanza Mayor,Groenvoorhoofdlancetkolibrie,grønnpannelansenebb
