Scientific_Name,en_uk,fr,es,nl,no
Amazona farinosa,Mealy Parrot,Amazone poudrée,Amazona Harinosa,Grote Amazone,melamazon
Amazona festiva,Festive Parrot,Amazone tavoua,Amazona Festiva,Blauwbaardamazone,rødryggamazon
Amazona finschi,Lilac-crowned Parrot,Amazone à couronne lilas,Amazona Guayabera,Finsch' Amazone,lillakroneamazon
Amazona kawalli,Kawall's Parrot,Amazone de Kawall,Amazona de Kawall,Kawalls Amazone,grimeamazon
Amazona leucocephala,Cuban Parrot,Amazone de Cuba,Amazona Cubana,Cuba-amazone,kubaamazon
Amazona mercenarius,Scaly-naped Parrot,Amazone mercenaire,Amazona Mercenaria,Schubnekamazone,andesamazon
Amazona ochrocephala,Yellow-crowned Parrot,Amazone à front jaune,Amazona Real,Geelvoorhoofdamazone,gulkroneamazon
Amazona oratrix,Yellow-headed Parrot,Amazone à tête jaune,Amazona Cabecigualda,Geelkopamazone,gulhodeamazon
Amazona rhodocorytha,Red-browed Parrot,Amazone à sourcils rouges,Amazona Coronirroja,Roodkruinamazone,flammemaskeamazon
Amazona tucumana,Tucuman Parrot,Amazone de Tucuman,Amazona Tucumana,Tucumánamazone,oreamazon
Amazona ventralis,Hispaniolan Parrot,Amazone d'Hispaniola,Amazona de la Española,Hispaniola-amazone,hispaniolaamazon
Amazona vinacea,Vinaceous-breasted Parrot,Amazone vineuse,Amazona Vinosa,Wijnborstamazone,vinamazon
Amazona viridigenalis,Red-crowned Parrot,Amazone à joues vertes,Amazona Tamaulipeca,Groenwangamazone,grønnkinnamazon
Amazona xantholora,Yellow-lored Parrot,Amazone du Yucatan,Amazona Yucateca,Geelteugelamazone,gultøyleamazon
Amazonetta brasiliensis,Brazilian Teal,Canard amazonette,Pato Brasileño,Amazonetaling,brasiland
Amblycercus holosericeus,Yellow-billed Cacique,Cassique à bec jaune,Cacique Piquiclaro,Geelsnaveltroepiaal,gulnebbkasik
Amblycorypha alexanderi,Clicker Round-winged Katydid,Clicker Round-winged Katydid,Clicker Round-winged Katydid,Clicker Round-winged Katydid,Clicker Round-winged Katydid
Amblycorypha longinicta,Common Virtuoso Katydid,Common Virtuoso Katydid,Common Virtuoso Katydid,Common Virtuoso Katydid,Common Virtuoso Katydid
Amblycorypha oblongifolia,Oblong-winged Katydid,Oblong-winged Katydid,Oblong-winged Katydid,Oblong-winged Katydid,Oblong-winged Katydid
